Class;LOC;NMD;NAD;LCOM5;DataClass;ATFD
android.support.v4.widget.EdgeEffectCompat;0;0;0;0;0;0
android.support.v4.content.ContextCompatJellybean;0;0;0;0;0;0
android.support.v4.accessibilityservice.AccessibilityServiceInfoCompatIcs;0;0;0;0;0;0
android.support.v4.view.accessibility.AccessibilityManagerCompatIcs;0;0;0;0;0;0
android.support.v4.app.TaskStackBuilder;0;0;0;0;0;0
android.support.v4.view.PagerTabStrip;0;0;0;0;0;0
android.support.v4.content.pm.ActivityInfoCompat;0;0;0;0;0;0
android.support.v4.widget.SearchViewCompatHoneycomb;0;0;0;0;0;0
android.support.v4.content.ContextCompatHoneycomb;0;0;0;0;0;0
android.support.v4.view.accessibility.AccessibilityManagerCompat;0;0;0;0;0;0
android.support.v4.view.ViewCompatHC;0;0;0;0;0;0
android.support.v4.app.LoaderManagerImpl;426;16;9;0.8147058486938477;0;2
android.support.v4.view.accessibility.AccessibilityNodeInfoCompat;0;0;0;0;0;0
android.support.v4.app.NotificationCompatJellybean;0;0;0;0;0;0
android.support.v4.view.accessibility.AccessibilityNodeInfoCompatIcs;0;0;0;0;0;0
android.support.v4.view.AccessibilityDelegateCompatIcs;0;0;0;0;0;0
android.support.v4.view.ViewGroupCompat;0;0;0;0;0;0
android.support.v4.app.Fragment;396;66;41;0.9705356955528259;0;0
android.support.v4.content.ContextCompat;0;0;0;0;0;0
android.support.v4.app.ActivityCompat;0;0;0;0;0;0
android.support.v4.content.ModernAsyncTask;0;0;0;0;0;0
android.support.v4.app.ShareCompatJB;0;0;0;0;0;0
android.support.v4.view.accessibility.AccessibilityNodeProviderCompatJellyBean;0;0;0;0;0;0
android.support.v4.app.ListFragment;147;16;12;0.9034091234207153;0;0
android.support.v4.view.MenuItemCompatHoneycomb;0;0;0;0;0;0
android.support.v4.net.TrafficStatsCompatIcs;0;0;0;0;0;0
android.support.v4.view.accessibility.AccessibilityNodeProviderCompat;0;0;0;0;0;0
android.support.v4.view.ViewConfigurationCompat;0;0;0;0;0;0
android.support.v4.widget.SimpleCursorAdapter;106;15;6;0.875;0;1
android.support.v4.app.ShareCompatICS;0;0;0;0;0;0
android.support.v4.os.ParcelableCompatCreatorHoneycombMR2Stub;0;0;0;0;0;0
android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat;0;0;0;0;0;0
android.support.v4.widget.ResourceCursorAdapter;27;7;3;0.6666666666666666;0;0
android.support.v4.app.ActivityCompatHoneycomb;6;2;0;0.0;0;0
android.support.v4.widget.ScrollerCompatIcs;0;0;0;0;0;0
android.support.v4.util.LruCache;146;19;8;1.0588235294117647;0;8
android.support.v4.view.KeyEventCompatHoneycomb;0;0;0;0;0;0
android.support.v4.view.ViewCompatGingerbread;0;0;0;0;0;0
android.support.v4.view.accessibility.AccessibilityRecordCompatJellyBean;0;0;0;0;0;0
android.support.v4.view.MotionEventCompatEclair;0;0;0;0;0;0
android.support.v4.view.PagerTitleStripIcs;0;0;0;0;0;0
android.support.v4.view.accessibility.AccessibilityRecordCompatIcs;0;0;0;0;0;0
android.support.v4.view.accessibility.AccessibilityRecordCompatIcsMr1;0;0;0;0;0;0
android.support.v4.content.IntentCompat;0;0;0;0;0;0
android.support.v4.os.ParcelableCompatCreatorHoneycombMR2;0;0;0;0;0;0
android.support.v4.view.PagerAdapter;0;0;0;0;0;0
android.support.v4.app.TaskStackBuilderJellybean;0;0;0;0;0;0
android.support.v4.app.FragmentManager;6;19;1;0.0;0;1
android.support.v4.view.KeyEventCompat;0;0;0;0;0;0
android.support.v4.net.TrafficStatsCompat;0;0;0;0;0;0
android.support.v4.app.BackStackState;104;5;10;0.75;0;17
android.support.v4.net.ConnectivityManagerCompatJellyBean;0;0;0;0;0;0
android.support.v4.app.ShareCompat;0;0;0;0;0;0
android.support.v4.net.ConnectivityManagerCompatGingerbread;0;0;0;0;0;0
android.support.v4.content.LocalBroadcastManager;0;0;0;0;0;0
android.support.v4.app.DialogFragment;170;22;18;0.80625;0;2
android.support.v4.util.SparseArrayCompat;0;0;0;0;0;0
android.support.v4.app.NavUtils;0;0;0;0;0;0
android.support.v4.app.NotificationCompatIceCreamSandwich;0;0;0;0;0;0
android.support.v4.widget.CursorAdapter;185;23;11;0.8571428571428571;0;0
android.support.v4.view.MotionEventCompat;0;0;0;0;0;0
android.support.v4.app.FragmentPagerAdapter;0;0;0;0;0;0
android.support.v4.widget.CursorFilter;25;4;1;0.0;0;0
android.support.v4.view.ViewCompat;0;0;0;0;0;0
android.support.v4.app.FragmentState;63;5;11;0.7749999761581421;0;9
android.support.v4.app.LoaderManager;3;6;0;0.0;0;1
android.support.v4.view.ViewConfigurationCompatFroyo;0;0;0;0;0;0
android.support.v4.widget.EdgeEffectCompatIcs;0;0;0;0;0;0
android.support.v4.view.MenuItemCompat;0;0;0;0;0;0
android.support.v4.view.AccessibilityDelegateCompat;0;0;0;0;0;0
android.support.v4.view.VelocityTrackerCompat;0;0;0;0;0;0
android.support.v4.view.accessibility.AccessibilityNodeInfoCompatJellyBean;0;0;0;0;0;0
android.support.v4.app.NavUtilsJB;0;0;0;0;0;0
android.support.v4.widget.ScrollerCompat;0;0;0;0;0;0
android.support.v4.util.TimeUtils;118;7;6;0.0;0;0
android.support.v4.app.FragmentActivity;368;31;14;0.8963133288967994;0;14
android.support.v4.view.ViewGroupCompatIcs;0;0;0;0;0;0
android.support.v4.app.FragmentManagerImpl;1203;62;26;0.9323076688326322;0;48
android.support.v4.app.NoSaveStateFrameLayout;20;4;0;0.0;0;0
android.support.v4.os.ParcelableCompat;0;0;0;0;0;0
android.support.v4.app.TaskStackBuilderHoneycomb;0;0;0;0;0;0
android.support.v4.app.ServiceCompat;0;0;0;0;0;0
android.support.v4.view.PagerTitleStrip;0;0;0;0;0;0
android.support.v4.app.SuperNotCalledException;3;1;0;0.0;0;0
android.support.v4.util.LongSparseArray;0;0;0;0;0;0
android.support.v4.content.AsyncTaskLoader;160;12;7;1.0769230769230769;0;10
android.support.v4.view.ViewPager;0;0;0;0;0;0
android.support.v4.view.accessibility.AccessibilityEventCompat;0;0;0;0;0;0
android.support.v4.content.CursorLoader;118;20;7;0.8403361264397117;0;1
android.support.v4.view.accessibility.AccessibilityRecordCompat;0;0;0;0;0;0
android.support.v4.util.DebugUtils;18;1;0;0.0;0;0
android.support.v4.app.FragmentManagerState;21;4;4;1.0;0;0
android.support.v4.net.ConnectivityManagerCompatHoneycombMR2;0;0;0;0;0;0
android.support.v4.view.ViewCompatJB;0;0;0;0;0;0
android.support.v4.view.AccessibilityDelegateCompatJellyBean;0;0;0;0;0;0
android.support.v4.widget.SearchViewCompat;0;0;0;0;0;0
android.support.v4.content.Loader;125;24;7;1.0416666666666667;0;7
android.support.v4.net.ConnectivityManagerCompat;0;0;0;0;0;0
android.support.v4.view.MenuCompat;10;1;1;0.0;0;0
android.support.v4.view.VelocityTrackerCompatHoneycomb;0;0;0;0;0;0
android.support.v4.app.BackStackRecord;430;37;24;0.913095201764788;0;12
android.support.v4.util.LogWriter;26;5;2;0.8333333333333334;0;0
android.support.v4.database.DatabaseUtilsCompat;0;0;0;0;0;0
android.support.v4.app.NotificationCompatHoneycomb;0;0;0;0;0;0
android.support.v4.app.FragmentStatePagerAdapter;0;0;0;0;0;0
android.support.v4.app.NotificationCompat;0;0;0;0;0;0
android.support.v4.view.ViewCompatICS;0;0;0;0;0;0
android.support.v4.app.FragmentTransaction;0;21;7;0.0;0;0
android.support.v4.view.accessibility.AccessibilityEventCompatIcs;0;0;0;0;0;0
