Learning rate;Beta;Nb filters 1;Pool size 1;Nb filters 2;Kernel size 2;Pool size 2;Dense shape;F-mesure
0.116510046653;0.0212686584245;40;20;20;3;20;[11, 8];0.5410504788160324
0.0665883892654;0.0570801603003;15;10;20;4;20;[78, 24];0.5099270865321159
0.0408584535454;0.00122803052798;14;10;18;3;20;[12, 9, 8];0.5064041651785374
0.084512177357;0.0532157805745;40;5;19;2;20;[90, 90];0.4969367329031229
0.0634121835375;0.0328543105134;37;10;18;2;20;[72, 16, 10];0.48951239325106144
0.0356609675963;0.010546760755;17;20;18;4;10;[138, 71];0.48252084851264954
0.0897051283196;0.00212239501612;38;20;20;5;20;[34, 9];0.4642004780471325
0.162252280123;0.0139275959055;35;10;12;2;5;[134, 86, 11];0.4504443686455488
0.0278486163545;0.0247077507841;39;20;17;5;20;[16, 12];0.44358392618596554
0.0415514371631;0.00953191729343;29;10;12;3;5;[54, 7, 6];0.441105131059885
0.241832440163;0.0239525399187;13;20;19;3;20;[60, 34];0.43725122418254614
0.133128988325;0.0248349826211;20;5;20;2;5;[107, 80];0.4365485832095146
0.0199095573498;0.00355573961554;24;10;18;3;10;[48, 41];0.43484580609947443
0.130028611148;0.0346362775955;39;20;18;5;5;[93, 12, 6];0.4275376480072737
0.209262996328;0.0259625545693;13;20;14;3;10;[71, 53, 33];0.4268378186970949
0.0496395207777;0.00278590950158;26;20;18;5;10;[137, 98, 46];0.4186942186206579
0.0411041109091;0.00311886946516;26;20;14;3;5;[17, 12, 11];0.4114635745063424
0.0585096152695;0.00380743758825;13;20;11;2;10;[58, 54];0.40580377727746964
0.146158212139;0.0361802733081;33;10;12;2;10;[98, 73, 20];0.4023385914042592
0.0159096446581;0.00549236552601;37;5;20;2;20;[122, 95];0.39933305233716965
0.0689455715397;0.016152928265;25;5;14;4;10;[78, 77];0.3873401805758476
0.0306178035945;0.00355681177232;18;5;12;4;20;[127, 121, 120];0.3840649053454399
0.0381619238993;0.0515493765908;38;20;18;5;5;[88, 23];0.37873448245227337
0.0231992079133;0.00159341344573;10;5;12;2;20;[121, 107];0.3774680271744728
0.0313416286433;0.00905354994307;12;20;18;2;10;[36, 22];0.37396877352148294
0.0733146801574;0.0675956963012;20;10;12;2;5;[82, 52];0.3735457230359316
0.019297754316;0.0194442217128;34;20;15;5;5;[60, 15];0.3733293991535902
0.0665758884347;0.0120058321779;32;20;10;4;5;[31, 7];0.37272950541228056
0.0379569182697;0.00101546814312;10;10;10;5;10;[111, 49];0.3649339200928807
0.0172097108453;0.0046751385748;36;10;18;4;20;[50, 12, 9];0.3613776322454214
0.0136367456945;0.0237531044322;39;5;17;2;5;[65, 47];0.358293779194355
0.0428773873067;0.0212603166863;34;5;15;2;20;[122, 108, 79];0.35822588205337524
0.015248730671;0.00800276816711;24;5;16;3;20;[56, 35, 22];0.3553205765783787
0.0774375351944;0.0129643346595;23;5;17;4;10;[28, 21];0.3546879580244422
0.0275509640638;0.0486680604646;14;20;14;4;10;[81, 71];0.35330882854759693
0.0211857942338;0.105498128896;22;20;19;5;10;[86, 20];0.352062463760376
0.023410329737;0.0027407822595;24;20;12;3;20;[70, 4, 4];0.3506828248500824
0.0239560122903;0.0473002565656;12;20;15;3;5;[88, 22];0.34195862524211407
0.0106101361402;0.00279160164133;34;5;15;2;20;[131, 95, 6];0.34086354495957494
0.0143635492478;0.00216555845755;33;5;15;2;20;[37, 28, 13];0.3404493974521756
0.12963267705;0.00900282569231;25;20;19;4;20;[80, 36];0.33952182345092297
0.117632163548;0.0258852801033;10;10;18;3;5;[108, 4, 4];0.33539164578542113
0.0178604698277;0.00310415368827;29;20;12;3;5;[55, 21, 14];0.3334889756515622
0.0218638758662;0.0172442046779;26;10;15;5;10;[48, 46];0.3309423504397273
0.0146481872455;0.00110001425413;12;20;18;2;20;[113, 35];0.32870655041188
0.0373190444985;0.00130157586679;32;5;17;3;10;[19, 10];0.32836070470511913
0.0742685412864;0.0151128988536;15;5;16;2;20;[21, 17, 17];0.3249767441302538
0.0461803939696;0.00180386212565;14;5;15;4;10;[49, 43];0.32354844454675913
0.0180867497438;0.0785248988507;36;5;17;5;10;[109, 62];0.32312071323394775
0.0609159003789;0.0797725336365;36;20;13;5;10;[89, 72];0.3219544645398855
0.104384726637;0.00341237650601;13;10;20;2;10;[24, 19];0.321866599842906
0.059681643658;0.0120521467999;28;10;18;5;5;[21, 20, 10];0.3190907753596548
0.0220074076728;0.0192640476836;30;5;19;3;20;[47, 44, 39];0.31411129888147116
0.0255546311799;0.0331137840512;18;5;19;4;20;[49, 10];0.30712127685546875
0.0493284813748;0.00895985090179;37;10;11;3;10;[124, 9, 4];0.3034537825733423
0.0597769881232;0.00127882734735;34;20;16;3;5;[14, 5, 5];0.3004944873973727
0.0542188768943;0.00212973381952;13;10;10;3;5;[91, 31, 24];0.28507762076333165
0.0753615864992;0.00740844562405;27;20;14;2;5;[85, 4, 4];0.28167712315917015
0.181725585148;0.00213143283353;21;20;14;2;20;[7, 5];0.2710918290540576
0.283844764179;0.0537571178495;23;10;20;3;5;[134, 91];0.2673617391847074
0.0141551598074;0.0441848746658;33;5;15;5;20;[41, 7];0.2659867685288191
0.0157779802393;0.00427591566959;17;20;17;4;5;[57, 33, 21];0.254502703435719
0.177703662077;0.00156724298772;35;20;12;5;10;[42, 17];0.2544420212507248
0.00919652470519;0.0994966577588;30;10;13;4;5;[96, 65];0.2486661672592163
0.0110332944679;0.0318214683964;21;20;17;5;5;[50, 22];0.24807220418006182
0.0149851716837;0.0329356773965;19;20;17;2;5;[60, 20];0.2469322858378291
0.0107111798602;0.00490017692883;27;5;12;2;5;[77, 58];0.2443750025704503
0.154808390103;0.00378347987751;28;20;18;2;10;[51, 28];0.24418016895651817
0.0108717596595;0.0711159909195;40;10;16;5;10;[99, 36, 24];0.24084867117926478
0.00945771291026;0.170257757491;36;20;20;5;10;[112, 45];0.2390466397628188
0.00700960905514;0.0100908955979;40;5;10;2;20;[132, 96, 95];0.23864915873855352
0.12937574822;0.0584150035467;38;5;18;2;5;[25, 18, 6];0.2359604388475418
0.0792268488993;0.00126342476217;21;5;13;5;10;[51, 17];0.23566807573661208
0.00566847431909;0.00309642358345;37;5;20;2;10;[133, 117, 112];0.22954773530364037
0.00656903836084;0.00287665340633;30;10;18;5;20;[97, 33, 22];0.22817800473421812
0.0164428305888;0.0776225496141;39;10;10;3;10;[74, 25, 10];0.224090616684407
0.205847837795;0.00635126087754;13;10;16;5;20;[26, 5, 5];0.22310415655374527
0.104116423457;0.00155215741451;31;10;16;5;5;[93, 79, 11];0.21781751050730236
0.217580203929;0.0141009116307;33;5;12;3;5;[112, 12, 4];0.21668440848588943
0.00702636740883;0.0173347874396;38;20;15;4;20;[93, 85, 72];0.2153477305546403
0.0206637288845;0.0256749377415;13;5;12;5;20;[13, 5, 4];0.2067067609168589
0.0112104807814;0.0953772870899;13;10;14;5;20;[104, 57];0.20489593967795372
0.0126997149563;0.00691790908562;34;10;17;4;5;[45, 30];0.20031306985765696
0.0116086421311;0.00105025923731;12;20;17;5;20;[85, 49];0.19832589337602258
0.0101888313776;0.160120477626;14;20;20;3;10;[11, 4];0.1975881785620004
0.127914881852;0.00116577301844;39;10;18;2;5;[117, 28, 10];0.19745103921741247
0.297547096762;0.0356967274957;17;10;10;3;10;[108, 93];0.18973232060670853
0.00709827741083;0.0294066514455;21;10;18;3;10;[22, 7];0.1866612215526402
0.00649887197488;0.131362541586;33;5;17;2;10;[114, 18, 5];0.1865363516844809
0.0069429889054;0.00732594916593;23;5;20;5;20;[72, 11, 9];0.18509100005030632
0.00290356720142;0.0342454946874;32;5;11;2;10;[140, 71];0.18258973956108093
0.00684014675959;0.15861401985;30;5;11;2;5;[18, 4, 4];0.1820926647633314
0.00399631910326;0.201077036675;12;20;19;4;20;[104, 93];0.1794098459649831
0.282180185382;0.0297234921518;34;20;14;4;5;[75, 66];0.17296999739483
0.00534697023861;0.00594423521191;34;5;11;2;5;[128, 88, 44];0.17080550082027912
0.148480889688;0.00665420869543;22;5;11;4;10;[23, 14, 5];0.17059110687114298
0.00687389194373;0.306551587442;15;5;16;4;20;[57, 57, 18];0.16628584451973438
0.00818235563144;0.00304657588003;31;5;14;2;10;[87, 9, 5];0.16377736860886216
0.00628435939064;0.0324880336849;18;5;13;5;20;[105, 27, 25];0.160562455188483
0.00627066767776;0.195243526226;17;5;12;2;5;[100, 91];0.1591681248974055
0.00375416509958;0.0031463576371;11;10;14;3;5;[9, 9];0.15666974312625825
0.00273068833728;0.110088881992;22;5;14;3;20;[140, 54, 14];0.1473235203884542
0.00364037723573;0.00131113061981;39;20;17;4;20;[49, 45, 4];0.14589011995121837
0.292682803862;0.00325915665208;20;10;15;4;20;[125, 53, 50];0.14337797835469246
0.00409397080767;0.0326222051692;10;5;18;4;20;[32, 24, 18];0.14151625870727003
0.00537939174418;0.00118690869963;34;10;13;3;5;[8, 6];0.14137068041600287
0.00339085530106;0.00316179527618;26;5;20;5;10;[117, 101];0.14133507921360433
0.00291200860865;0.00691328724603;15;5;10;4;5;[104, 91, 51];0.14115642895922065
0.00282238661984;0.00200825506968;28;5;12;2;10;[78, 52, 51];0.1400042495224625
0.00292758874381;0.249985500374;37;5;18;2;5;[47, 19, 6];0.13841286348178983
0.0036252229161;0.0020304486155;10;20;16;4;5;[64, 16];0.1375117136631161
0.00496562381202;0.0541244548762;32;5;13;3;20;[108, 84];0.1374734928831458
0.00318990782234;0.0892133196314;36;10;12;3;5;[48, 10, 6];0.1370380469597876
0.137126203121;0.00346419804982;40;20;13;5;5;[13, 7];0.13703085127053782
0.152387604166;0.00149288260767;19;5;11;2;5;[90, 39];0.13545758556574583
0.00134043488581;0.154281937586;21;5;14;3;5;[79, 68];0.13502785563468933
0.00550338704709;0.0380351235704;27;20;14;4;20;[100, 29, 7];0.13471572590060532
0.0220954440176;0.0636948107221;18;20;11;2;20;[8, 8, 6];0.1345905332127586
0.00323418409536;0.0072955880433;35;20;11;4;10;[81, 7, 5];0.1344708949327469
0.00144825846191;0.274792727043;37;10;10;4;20;[113, 81];0.13252415115130134
0.00311484686866;0.0858172710393;23;10;10;5;10;[120, 115, 70];0.12887456826865673
0.200107654162;0.00413146501084;20;20;18;3;10;[9, 9, 5];0.12753144092857838
0.00343481509669;0.0463771635627;14;5;19;2;20;[61, 16];0.12710913480259478
0.00514990111222;0.0339920266712;36;5;18;4;10;[38, 30, 9];0.12434153072535992
0.0220983868584;0.107576991049;20;5;11;2;10;[42, 14, 14];0.12282260321080685
0.00670701444467;0.00250240449067;23;10;10;5;5;[23, 6];0.12255118461325765
0.245461277236;0.0110413914369;20;10;19;4;20;[12, 12];0.12254560831934214
0.00423172131469;0.00780435153592;27;10;11;5;20;[61, 45, 19];0.1216773878550157
0.00138703020132;0.303998683706;24;5;18;5;5;[58, 24];0.11784276738762856
0.00281095701634;0.0109764712451;36;5;16;4;5;[22, 16];0.11581107997335494
0.0123942598499;0.144791801096;12;10;14;5;20;[34, 20];0.11578376509714872
0.00304737146089;0.0119226478076;20;10;18;2;20;[117, 64, 29];0.11495986068621278
0.0028951656404;0.0186288758522;40;5;11;3;5;[31, 4];0.1128811459057033
0.00466142453821;0.0783214298539;26;10;16;5;5;[26, 8, 7];0.11287344200536609
0.002865879353;0.27489856122;10;20;14;4;20;[73, 61];0.1111502634594217
0.00320713939321;0.00788572710776;26;20;14;4;5;[128, 84];0.1066536323633045
0.00186843740881;0.00796274660713;32;20;16;3;10;[129, 128];0.1057104563806206
0.00144202002824;0.00326275540501;23;5;19;3;20;[106, 91];0.10296259552706033
0.00522455692106;0.219365194099;23;20;19;4;10;[97, 69, 6];0.10242892056703568
0.00113813512669;0.00105532633176;35;5;19;5;20;[70, 67, 18];0.09922944172285497
0.00377670122642;0.0901257611483;39;5;20;3;10;[72, 16, 9];0.09669961710460484
0.00891744549098;0.0258307271643;17;5;11;4;10;[12, 7, 4];0.09571105986833572
0.00104666031846;0.0274025342272;20;5;17;5;10;[92, 79];0.09566698246635497
0.00291108589448;0.132685969162;23;20;20;5;20;[67, 29, 22];0.09387553110718727
0.00233284738536;0.0126112249957;27;5;18;2;20;[41, 31];0.09335177903994918
0.0078595571156;0.0248137213987;22;10;15;4;5;[8, 4];0.09031137404963374
0.00512769453659;0.041952319872;22;5;18;5;20;[26, 17, 5];0.08996652229689062
0.00157068775776;0.180888807423;30;20;15;4;20;[8, 6, 4];0.08956454123836011
0.00167029033733;0.0603604113102;36;10;18;5;5;[67, 15, 15];0.08889728877693415
0.252823356641;0.002203781366;27;10;16;5;5;[57, 43, 17];0.0857525130850263
0.00321357642172;0.00126547724772;13;5;16;3;10;[68, 20, 4];0.08444311167113483
0.0017226928457;0.0350080688676;15;10;11;5;5;[124, 113, 100];0.08404325961600989
0.0012586943224;0.00312520368353;32;5;13;2;10;[122, 67];0.08362371055409312
0.00178048057822;0.00217989079774;14;5;17;2;10;[65, 42];0.08361311163753271
0.00119975610455;0.11012229985;21;10;17;4;20;[43, 16, 14];0.08321192499715835
0.151167027451;0.00164409345592;18;5;16;3;20;[66, 53, 35];0.08305585396010429
0.00165579865008;0.057849944534;32;5;12;2;10;[128, 78, 57];0.07889465021435171
0.193440353081;0.0107559521667;38;5;11;4;5;[45, 19];0.07779404145549051
0.00171413385664;0.00497306683656;39;10;17;3;10;[6, 4, 4];0.07688384945504367
0.00171462638021;0.0441266712567;20;20;18;5;5;[16, 4, 4];0.0764386389637366
0.00274486465795;0.174286605002;15;5;20;5;10;[81, 6];0.0755786478985101
0.00126953787243;0.134631329381;33;10;19;5;5;[70, 62];0.07393513387069106
0.00206235856064;0.273314135101;20;20;11;3;10;[12, 6];0.07350475701969117
0.00153184401751;0.00154372165143;33;5;14;3;20;[27, 6];0.07287421746877953
0.0017040590033;0.00170566445307;14;5;10;2;20;[129, 92, 39];0.07118647242896259
0.00100533766572;0.10092420843;25;5;15;4;20;[135, 74, 17];0.07060749200172722
0.00151970825236;0.0417584134389;18;10;16;5;10;[44, 19];0.06900229165330529
0.00228085934293;0.142826972539;11;5;11;5;20;[54, 24];0.06896641501225531
0.00172679178416;0.198956353651;15;20;10;2;20;[128, 41];0.06692942848894745
0.00140054015927;0.0271970124576;30;20;20;3;10;[104, 8, 6];0.06363778514787555
0.00268715140116;0.00245146890101;23;10;18;3;5;[7, 6, 4];0.06288042571395636
0.00131030978722;0.27305838455;17;10;20;3;5;[129, 17];0.06273607956245542
0.0013583102983;0.00141582264056;28;20;14;3;10;[93, 78];0.06236155319493264
0.00109116923748;0.00381880564597;35;10;20;5;5;[139, 59, 31];0.05831015948206186
0.00204518250583;0.00271654731525;11;5;19;3;20;[86, 11];0.05733378115110099
0.00144227275069;0.308594656701;11;10;13;4;20;[26, 21, 4];0.050718856044113636
0.00108576690714;0.00307538758632;24;20;14;4;5;[33, 28];0.04751401045359671
0.00247113141874;0.169608819757;21;20;18;3;10;[73, 7, 4];0.04043571534566581
0.0747134795677;0.159028275699;36;5;14;4;10;[130, 5, 4];0.033066496
0.188893067952;0.165550201724;33;20;13;2;20;[126, 45];0.033066496
0.190996875708;0.294576870218;23;20;15;3;5;[57, 40];0.033066496
0.0221512845278;0.163894424077;32;10;12;4;20;[81, 10, 10];0.033066496
0.107812337078;0.132444082309;19;10;11;5;10;[62, 26, 14];0.033066496
0.0590584170033;0.119065288808;27;10;11;2;20;[53, 31];0.033066496
0.141248618112;0.243402167156;11;10;19;2;10;[80, 34, 24];0.033066496
0.101257147879;0.22900769074;16;10;12;5;20;[119, 90, 59];0.033066496
0.218723051122;0.0753614474628;16;5;16;5;20;[29, 12, 9];0.033066496
0.223082037173;0.108916083015;12;10;16;5;5;[8, 6];0.033066496
0.289069609333;0.279946891618;40;20;10;5;5;[63, 51];0.033066496
0.0340084646608;0.201167913357;40;20;15;4;10;[42, 20, 6];0.033066496
0.0433786176352;0.138496869939;40;10;20;2;10;[54, 17];0.033066496
0.0310841595975;0.267848976975;27;10;17;3;5;[120, 90, 74];0.033066496
0.191932645771;0.0967462573221;31;20;12;2;20;[88, 84];0.033066496
0.159901042009;0.249840569499;30;10;17;3;20;[139, 47, 20];0.033066496
0.0751711142473;0.185896576839;25;20;13;4;10;[118, 7, 5];0.033066496
0.180973238539;0.234743345102;35;5;20;4;5;[16, 7];0.033066496
0.0525311234975;0.200041134169;16;10;16;5;10;[114, 105];0.033066496
0.0468640976446;0.131422259935;40;5;14;2;5;[63, 12, 8];0.033066496
0.141917397695;0.176260560519;40;10;11;2;10;[7, 7, 7];0.033066496
0.272418204165;0.164761068341;10;20;18;2;5;[138, 91, 44];0.033066496
0.0536188513702;0.161407517289;36;20;16;2;5;[95, 76, 74];0.033066496
0.261047855283;0.121298012599;20;10;13;2;20;[92, 16, 5];0.033066496
0.14460079526;0.182470892732;10;10;10;2;20;[68, 30, 17];0.033066496
0.0299195219443;0.296709217551;15;20;20;2;10;[33, 14];0.033066496
0.213807511795;0.241995670041;16;10;13;4;10;[35, 7];0.033066496
0.172433642892;0.14701741624;15;10;19;2;10;[45, 21];0.033066496
0.208184955894;0.0583162314169;23;20;12;3;20;[12, 11];0.033066496
0.0268558107981;0.147726452654;32;20;12;3;20;[91, 28];0.025806990917772055
0.0252842773153;0.0990896644936;19;20;14;3;5;[6, 5, 4];0.025619999039918184
0.303916758272;0.0708072289726;20;5;18;5;5;[81, 44];0.022083157673478127
0.0178975059485;0.218393818465;15;5;12;2;20;[36, 14, 7];0.022083157673478127
0.157623695474;0.0135122286269;10;10;11;4;5;[33, 11];0.020310554653406143
0.273646113386;0.00443465967652;31;5;18;2;5;[129, 23];0.015833820216357708
0.0254217602762;0.13025156845;12;10;12;5;20;[132, 63, 51];0.01482365233823657
