Learning rate;Beta;Gamma;Layers;F-measure
0.139934290694;0.280436283407;9;[89, 39, 28];nan
0.480304687788;0.0842303577768;3;[65, 24];nan
0.223866630672;0.006320122979;3;[100, 83];0.2710280373831776
0.770514396509;0.00579873723412;10;[72];0.24822695035460993
0.374614679451;0.0344190385126;8;[50, 8];0.24299065420560748
0.541945984065;0.00722917478387;9;[76, 19, 12];0.24031007751937986
0.163580015483;0.00688213410153;10;[49, 29];0.2376237623762376
0.246307387452;0.0147827055008;5;[69];0.23529411764705885
0.302948034635;0.138293798631;9;[70, 41];0.20717131474103584
0.614892119126;0.0218998636386;2;[49, 36];0.20091324200913244
0.0923630357253;0.0142109130579;10;[91, 25];0.20000000000000004
0.133814443331;0.0638428376839;7;[22, 18];0.19607843137254902
0.316435678995;0.0229978491498;6;[92, 10, 7];0.18775510204081633
0.33904357385;0.148092609867;10;[77, 60];0.18705035971223022
0.164663410976;0.103325337582;7;[85];0.18584070796460175
0.748641524278;0.030066124449;5;[87, 11];0.18367346938775508
0.0580318006242;0.0957400453747;7;[68, 36];0.18110236220472445
0.583380909899;0.00635569503424;7;[100, 41, 33];0.17886178861788618
0.260246910015;0.0452680213706;2;[57, 47, 22];0.17233560090702946
0.48459313235;0.006593227014;9;[51, 32];0.16891891891891894
0.0396476268612;0.195933546835;10;[49, 44];0.15071283095723015
0.190881011499;0.12031090108;6;[66, 35];0.14634146341463414
0.0716404794774;0.278709742224;4;[81, 78];0.13917525773195877
0.17047253839;0.00455555961783;5;[40, 21];0.13793103448275862
0.199179876889;0.0175267748119;3;[23, 18];0.12253374870197302
0.0643732756623;0.0334152552564;6;[71, 28, 6];0.07561436672967864
0.0610976868718;0.0538261125816;5;[84, 22];0.0748898678414097
0.211702085745;0.00759841047428;4;[53, 32, 27];0.06983240223463688
0.125857463114;0.215686649541;7;[64, 27];0.06666666666666667
0.0823324580561;0.0305191705759;7;[30];0.056746532156368226
0.168443031773;0.182311404685;10;[34, 16, 14];0.0547945205479452
0.449563769213;0.00409271193259;1;[48, 37];0.0534724486468862
0.0752604475431;0.0314789542972;2;[99, 65, 26];0.05186590765338393
0.0572964153493;0.193241853255;6;[20, 5];0.045133991537376586
0.0547682847986;0.156713375196;3;[95, 86];0.04093567251461988
0.0116647265472;0.154378540557;8;[89, 49];0.03869653767820774
0.18913318106;0.00318351830801;2;[18, 13];0.03761904761904762
0.0569898467658;0.00332142790061;9;[39];0.036281179138321996
0.205630956306;0.00950117119636;1;[73, 29];0.03571428571428572
0.149244823788;0.0415546367716;1;[88, 60];0.035423452768729644
0.0565061980679;0.0188176089812;4;[41, 10, 6];0.0351035103510351
0.0662508504536;0.109347638955;4;[58];0.03498164543295185
0.0235378818687;0.306203255061;9;[85];0.03485838779956427
0.0779202160753;0.0352586932058;9;[23, 4, 4];0.033788641265276774
0.0445977060024;0.0655183808862;5;[73];0.032552954292084726
0.0224557721971;0.00484634588866;4;[90, 75, 36];0.032185781218170714
0.0367206502789;0.123624450722;10;[46, 17];0.029981261711430358
0.0500102279978;0.0775861011921;4;[5, 5, 4];0.029857498303551232
0.0204747351951;0.0273514123766;10;[54, 4, 4];0.028517110266159697
0.247551255767;0.0109984369182;1;[24, 17];0.02815450643776824
0.0128042576364;0.189242868949;10;[83, 25, 5];0.027665460736326874
0.0483157472061;0.080001247691;6;[46, 25];0.02619671350321505
0.0109751909023;0.508174169395;1;[50, 35];0.022833108006609582
0.0184297549326;0.00537947593895;9;[94, 64, 55];0.02265533899716808
0.00351632972013;0.0353504548843;6;[37, 8, 8];0.021940667490729295
0.0168097877754;0.397801348589;4;[91];0.02158495220474869
0.0152735068977;0.960785902823;2;[46, 24];0.020784903596335294
0.0165836835393;0.946588363475;6;[97, 34];0.020628847113625018
0.110937691869;0.172409598315;2;[21, 16, 5];0.01998001998001998
0.0505422990363;0.0100781916912;2;[50, 29, 28];0.019687807621994097
0.045136144471;0.0243485576425;2;[72, 5];0.01952951620062139
0.0305590168394;0.0035102687204;8;[11, 10, 4];0.01942555848480644
0.0216898566823;0.116556159937;10;[17];0.018490451652015762
0.00953278371516;0.00599772998011;2;[53];0.01796005897332797
0.00344121001441;0.0336503708361;9;[15, 13];0.017521902377972465
0.015362338785;0.0195885720848;9;[94, 61];0.017454954954954954
0.00321527115863;0.0480996314442;5;[53, 53];0.017070979335130278
0.0162690783367;0.18246277653;3;[35, 27];0.016908929101156926
0.00652497489032;0.127386567127;2;[64, 52, 7];0.016439160428592395
0.0406600808774;0.222340885261;1;[15, 7, 5];0.016172506738544475
0.0148398698535;0.0686424683502;2;[67, 25];0.01600662343038499
0.0286945175511;0.0390268831808;8;[16];0.015873015873015876
0.00396030958073;0.0154185379769;1;[97];0.01575028636884307
0.245553475989;0.101853880835;3;[6, 4];0.015715377059914874
0.00926454172118;0.0396785228203;10;[26];0.01565557729941292
0.0280161120789;0.909796273367;6;[100, 55, 52];0.01561483409238777
0.00344281513623;0.733034306649;2;[47, 5, 5];0.014961328768860149
0.00516107693206;0.00812451249293;8;[67, 30];0.01483050847457627
0.123216570277;0.149813991311;6;[80, 22, 10];0.01472942683317323
0.00484462796977;0.026923028707;6;[66];0.014392549738958657
0.0900169221044;0.400416749638;7;[47, 15];0.014219576719576719
0.0227899350542;0.00355211278876;8;[48];0.013760179724796406
0.0119012329661;0.0821983207046;9;[15];0.01350298623734095
0.0041826122914;0.040435143945;1;[71, 38];0.013429256594724222
0.0992157010765;0.959026506165;2;[24];0.013357376611233552
0.0691683438946;0.886300033885;1;[7, 4];0.013357376611233552
0.274771647763;0.698493001157;4;[31];0.013357376611233552
0.138248677877;0.882896485583;9;[94, 88];0.013357376611233552
0.306162627369;0.357827926831;7;[62, 26];0.013357376611233552
0.90548190281;0.967881453502;8;[47, 24];0.013357376611233552
0.105773329471;0.721066100213;4;[18, 6];0.013357376611233552
0.207628336578;0.254811294887;2;[30, 7, 4];0.013357376611233552
0.0888142847989;0.795646700465;6;[58, 54];0.013357376611233552
0.00626379670778;0.0524586164398;6;[12, 5];0.012269938650306747
0.0262958842955;0.355897744296;4;[4, 4, 4];0.012106161725904084
0.0111214699182;0.455959842538;10;[34];0.011917098445595855
0.00936534138664;0.221568509752;2;[39, 5];0.011330698287220027
0.0262356525662;0.173646915913;6;[4, 4];0.01079231376678073
0.00421872677237;0.00342949270878;1;[44, 5, 4];0.009452321378926884
0.0737162901023;0.0261525573181;1;[14, 5];0.008372447037929722
